id,content,layer
Log out,I can log out.,Functional Requirement
Save current graph layout,I can save the layout of artifacts after moving them around.,Functional Requirement
Select and load project versions,I can select and load a version of the project.,Functional Requirement
Update jobs in real-time,I can see real-time job updates on the progress of jobs.,Functional Requirement
Graph is responsive after changing modes,I can see the graph interactions load after changing the project display mode.,Functional Requirement
Graph is responsive on initial page load,I can see the graph interactions load on initial page load.,Functional Requirement
Graph is responsive after changing pages,I can see the graph interactions load after changing pages.,Functional Requirement
Display artifact search match count,I can see how many artifacts match my search.,Functional Requirement
Create artifact types when creating artifacts,I can add a new artifact type when creating a new artifact.,Functional Requirement
Sort artifact rows,I can sort artifacts by their fields.,Functional Requirement
Group artifact rows,I can group artifacts by their fields.,Functional Requirement
Display count of generated links in groups,I can see the counts of grouped generated trace links.,Functional Requirement
Group generated links,I can group generated trace links by their fields.,Functional Requirement
Sort generated links,I can sort trace links by their fields.,Functional Requirement
Un-review generated links,I can un-review an approved or declined trace link.,Functional Requirement
Display users currently on a view,I can see who is working on my current view.,Functional Requirement
Delete an account,I can delete my account after typing in my password.,Functional Requirement
Receive notifications from layout updates,I can get notified when the layout has been updated.,Functional Requirement
Display generated links,"I can see approved, declined, and un-reviewed trace links.",Functional Requirement
Generate trace links,I can generate a list of trace links using a trained model.,Functional Requirement
Edit a password,I can edit my password while logged in.,Functional Requirement
Create projects through creation steps,I can create a project by following the standard steps to upload project files.,Functional Requirement
Delete uploaded artifact files,I can delete a set of artifacts.,Functional Requirement
Create projects from files in bulk,I can create a project from a set of flat files representing artifacts and trace links.,Functional Requirement
Display artifact warnings,I can see an artifact’s warnings in the graph and table views.,Functional Requirement
Display TIM tree graph,I can see the TIM tree of a project.,Functional Requirement
Display default warnings for safety cases,I can see default warnings for following safety case structure.,Functional Requirement
Synchronize project data,I can automatically download any changes to my project data by other users or asynchronous jobs.,Functional Requirement
Create change commits,I can create a commit to change project entities.,Functional Requirement
Display errors in snackbar,I will see a snackbar error when an api request fails.,Functional Requirement
Display actions on notifications,I can perform an action as a result of a notification.,Functional Requirement
Download project version files,I can download my current project version as CSV or JSON.,Functional Requirement
Display current view,I can see what view I am currently viewing.,Functional Requirement
Delete trace links,I can delete a trace link.,Functional Requirement
Delete custom models,I can delete a model on my project.,Functional Requirement
Create custom models,I can create a new model for my project.,Functional Requirement
Train on project trace links,I can train my model on existing trace links in my project.,Functional Requirement
Generate project layout during import,I can generate my project's layout during importing.,Functional Requirement
Pre-train on documents,I can pretrain my model on uploaded documents.,Functional Requirement
Generate FMEA custom attributes,I can generate FMEA attributes for traced artifact children.,Functional Requirement
Delete rules,I can delete a rule.,Functional Requirement
Edit rules,I can edit a rule.,Functional Requirement
Create rules,I can create a new rule.,Functional Requirement
Delete jobs,I can delete a logged job.,Functional Requirement
Create empty projects,I can create an empty project.,Functional Requirement
Duplicate artifacts,I can duplicate an artifact.,Functional Requirement
Display tree of artifacts,I can view the artifacts in my project in a tree graph.,Functional Requirement
Display job progress,I can see the current progress of a job.,Functional Requirement
Cancel jobs in progress,I can cancel a job that is in progress.,Functional Requirement
Restore last view,I can see the last view I was on after loading a project.,Functional Requirement
Filter artifact table by delta type,"In delta view, I can filter the artifact table by delta type.",Functional Requirement
Display artifact table delta,I can see the delta state of artifacts in the table view.,Functional Requirement
Display artifact’s views,"When viewing an artifact, I can can navigate to the views that it is visible on.",Functional Requirement
Load default project version,"I can set the default project, version, and view that is loaded when I log in.",Functional Requirement
Delete views,I can delete a view.,Functional Requirement
Delete uploaded trace files,I can delete a set of trace links.,Functional Requirement
Preview uploaded trace links,I can preview the list of trace links loaded from a file.,Functional Requirement
Preview uploaded artifacts,I can preview the list of artifacts loaded from a file.,Functional Requirement
Send account confirmation email,"When I create an account, I will receive an email to confirm my account.",Functional Requirement
Display safety case artifact shapes,I can see the proper shapes for safety case nodes.,Functional Requirement
Display FTA node shapes,I can see the proper shapes for FTA nodes.,Functional Requirement
Create safety case artifacts,"When viewing a safety case view, I can create safety case artifacts.",Functional Requirement
Set safety case type,"When creating a safety case artifact, I can set the safety case type.",Functional Requirement
Create FTA artifacts,"When viewing an FTA view, I can create FTA type artifacts.",Functional Requirement
Display artifact’s delta,I can select an artifact to see the difference between versions.,Functional Requirement
Display subtree delta types,I can see the delta states of all hidden child artifacts on a parent artifact.,Functional Requirement
Display artifact delta colors,I can see each artifact’s delta state by its color.,Functional Requirement
Display trace link delta colors,I can see the corresponding colors of each trace link’s delta state.,Functional Requirement
Display all delta artifacts,"I can see all added, modified, and removed artifacts.",Functional Requirement
Enable delta view,I can enable delta view by selecting a version to compare against.,Functional Requirement
Disable delta view,I can disable delta view.,Functional Requirement
Create views from artifacts,I can create a new document from artifacts or their types.,Functional Requirement
Edit views,I can edit a view’s name and artifacts.,Functional Requirement
Display filtered artifact views,I can only see the artifacts and links that are associated with my current view.,Functional Requirement
Update project on view data change,My project will be updated when someone else edits the view.,Functional Requirement
Switch views,I can switch between views of my project.,Functional Requirement
Edit artifact type icons,I can change the icon of an artifact type.,Functional Requirement
Delete type direction rules,I can remove a rule on what types of artifacts a trace link is allowed between.,Functional Requirement
Display artifact subtree warnings,I can see any errors in the parent node of hidden child nodes.,Functional Requirement
Hide artifact subtrees,I can hide an artifact’s subtree.,Functional Requirement
Display artifact subtrees, I can show an artifact’s subtree.,Functional Requirement
Highlight artifact subtrees,I can highlight an artifact’s subtree.,Functional Requirement
Create trace links,I can create a new trace link.,Functional Requirement
Create artifacts,I can create a new artifact.,Functional Requirement
Re-center graph window,I can re-center the graph window on my project.,Functional Requirement
Filter displayed artifacts,I can filter what artifacts are displayed by their attributes.,Functional Requirement
Delete artifacts,I can delete an artifact.,Functional Requirement
Display parent and child artifacts,I can see an artifact’s parent and child artifacts.,Functional Requirement
Edit artifacts,I can edit an artifact.,Functional Requirement
Display artifact content,"I can see an artifact’s type, name, and body.",Functional Requirement
Select artifacts, I can select an artifact to view more details.,Functional Requirement
Decline generated links,I can decline an un-reviewed or approved trace link.,Functional Requirement
Approve generated links,I can approve an un-reviewed or declined trace link.,Functional Requirement
Search projects,I can search my projects by name.,Functional Requirement
Select projects,I can select a project to see its versions.,Functional Requirement
Display project TIM preview ,I can view a preview of the TIM graph of a project being created.,Functional Requirement
Create trace matricies,I can create a set of trace links by the type of artifacts they join.,Functional Requirement
Generate trace links on upload,I can generate trace links between artifacts.,Functional Requirement
Upload trace matrix files,I can upload sets of trace links between two artifact types.,Functional Requirement
Upload artifact type files,I can upload a file containing the artifacts I want to create.,Functional Requirement
Create artifact types,I can create sets of artifacts by their type.,Functional Requirement
Reset my password,I can reset my password.,Functional Requirement
Send password reset email,I can request a password reset email.,Functional Requirement
Create an account,I can create an account with an unused email.,Functional Requirement
