source,target
Display actions on notifications,Display actions on notifications_transformed
Download project version files,Download project version files_transformed
Display current view,Display current view_transformed
Delete trace links,Delete trace links_transformed
Delete custom models,Delete custom models_transformed
Create custom models,Create custom models_transformed
Train on project trace links,Train on project trace links_transformed
Generate project layout during import,Generate project layout during import_transformed
Pre-train on documents,Pre-train on documents_transformed
Generate FMEA custom attributes,Generate FMEA custom attributes_transformed
Delete rules,Delete rules_transformed
Edit rules,Edit rules_transformed
Create rules,Create rules_transformed
Delete jobs,Delete jobs_transformed
Create empty projects,Create empty projects_transformed
Duplicate artifacts,Duplicate artifacts_transformed
Display tree of artifacts,Display tree of artifacts_transformed
Display job progress,Display job progress_transformed
Cancel jobs in progress,Cancel jobs in progress_transformed
Restore last view,Restore last view_transformed
Filter artifact table by delta type,Filter artifact table by delta type_transformed
Display artifact table delta,Display artifact table delta_transformed
Display artifact’s views,Display artifact’s views_transformed
Load default project version,Load default project version_transformed
Delete views,Delete views_transformed
Delete uploaded trace files,Delete uploaded trace files_transformed
Preview uploaded trace links,Preview uploaded trace links_transformed
Preview uploaded artifacts,Preview uploaded artifacts_transformed
Send account confirmation email,Send account confirmation email_transformed
Display safety case artifact shapes,Display safety case artifact shapes_transformed
Display FTA node shapes,Display FTA node shapes_transformed
Create safety case artifacts,Create safety case artifacts_transformed
Set safety case type,Set safety case type_transformed
Create FTA artifacts,Create FTA artifacts_transformed
Display artifact’s delta,Display artifact’s delta_transformed
Display subtree delta types,Display subtree delta types_transformed
Display artifact delta colors,Display artifact delta colors_transformed
Display trace link delta colors,Display trace link delta colors_transformed
Display all delta artifacts,Display all delta artifacts_transformed
Enable delta view,Enable delta view_transformed
Disable delta view,Disable delta view_transformed
Create views from artifacts,Create views from artifacts_transformed
Edit views,Edit views_transformed
Display filtered artifact views,Display filtered artifact views_transformed
Update project on view data change,Update project on view data change_transformed
Switch views,Switch views_transformed
Edit artifact type icons,Edit artifact type icons_transformed
Delete type direction rules,Delete type direction rules_transformed
Display artifact subtree warnings,Display artifact subtree warnings_transformed
Hide artifact subtrees,Hide artifact subtrees_transformed
Display artifact subtrees,Display artifact subtrees_transformed
Highlight artifact subtrees,Highlight artifact subtrees_transformed
Create trace links,Create trace links_transformed
Create artifacts,Create artifacts_transformed
Re-center graph window,Re-center graph window_transformed
Filter displayed artifacts,Filter displayed artifacts_transformed
Delete artifacts,Delete artifacts_transformed
Display parent and child artifacts,Display parent and child artifacts_transformed
Edit artifacts,Edit artifacts_transformed
Display artifact content,Display artifact content_transformed
Select artifacts,Select artifacts_transformed
Decline generated links,Decline generated links_transformed
Approve generated links,Approve generated links_transformed
Search projects,Search projects_transformed
Select projects,Select projects_transformed
Display project TIM preview ,Display project TIM preview _transformed
Create trace matricies,Create trace matricies_transformed
Generate trace links on upload,Generate trace links on upload_transformed
Upload trace matrix files,Upload trace matrix files_transformed
Upload artifact type files,Upload artifact type files_transformed
Create artifact types,Create artifact types_transformed
Reset my password,Reset my password_transformed
Send password reset email,Send password reset email_transformed
Create an account,Create an account_transformed
